ISSN;TITULO;QUALIS
11300124;ESPACIO, TIEMPO Y FORMA. SERIE V. HISTORIA CONTEMPORANEA;A3
07981015;ESPACIOS (CARACAS);C
23139927;ESPACIOS EN BLANCO (ONLINE);B1
15159485;ESPACIOS EN BLANCO. SERIE INDAGACIONES;B1
16658140;ESPACIOS PUBLICOS;B1
20079729;ESPACIOS TRANSNACIONALES;B3
01037668;ESPACO (RIO DE JANEIRO. 1990);B1
22373071;ESPACO ABERTO, PPGG - UFRJ;A1
19826524;ESPACO AMERINDIO (UFRGS);A2
14133342;ESPACO E CULTURA (UERJ);B1
23177837;ESPACO E ECONOMIA;A2
15169375;ESPACO E GEOGRAFIA (UNB);A3
25265725;ESPACO E TEMPO MIDIATICOS;B3
15197816;ESPACO EM REVISTA;A4
18078575;ESPACO ENERGIA;C
15195899;ESPACO JURIDICO;A2
01033832;ESPACO PARA A SAUDE;B4
15177130;ESPACO PARA A SAUDE - REVISTA DE SAUDE PUBLICA DO PARANA;B4
01047469;ESPACO PEDAGOGICO;A3
1981478X;ESPACO PLURAL (MARECHAL CANDIDO RONDON. ONLINE);A2
15184196;ESPACO PLURAL (UNIOESTE);A2
21794421;ESPACO PUBLICO PERIODICO: PISEAGRAMA;B4
16774833;ESPACOS (SAO PAULO);C
21834644;ESPACOS VIVIDOS E ESPACOS CONSTRUIDOS (ONLINE);B3
13908103;ESPAMCIENCIA;B4
15175081;ESPECIARIA (UESC);C
25267582;ESPECTRO DA CRITICA;B4
21771227;ESPELEO-TEMA;C
01024701;ESPELEO-TEMA (SAO PAULO);C
25949721;ESPIRALES REVISTA MULTIDISCIPLINARIA DE INVESTIGACION;A1
18091296;ESPORTE E SOCIEDADE;B1
00140759;ESPRIT;A4
17051045;ESPRIT CRITIQUE (MONTREAL);B3
20665083;ESSACHESS - JOURNAL FOR COMMUNICATION STUDIES (IMPRESSO);A4
22676562;ESSAIS FRANCOPHONES;C
00711365;ESSAYS IN BIOCHEMISTRY;A1
15260569;ESSAYS IN PHILOSOPHY;A2
15166406;ESSENTIA (SOBRAL/CE);B3
1809046X;ESTACAO CIENTIFICA (FESJF. ONLINE);A1
19806051;ESTACAO CIENTIFICA (JUIZ DE FORA. IMPRESSO);A1
21791902;ESTACAO CIENTIFICA (UNIFAP);B1
19831048;ESTACAO LITERARIA;A4
23412224;ESTACION POESIA;C
24779245;ESTADO & COMUNES;A3
25251805;ESTADO ABIERTO: REVISTA SOBRE EL ESTADO, LA ADMINISTRACION Y LAS POLITICAS PUBLICAS;B3
26754576;ESTADO DA ARTE;B3
07176759;ESTADO, GOBIERNO, GESTION PUBLICA (IMPRESA);B2
21774273;ESTETICA;B3
20396635;ESTETICA. STUDI E RICERCHE;B1
16431243;ESTETYKA I KRYTYKA : THE POLISH JOURNAL OF AESTHETICS;A4
19811624;ESTILOS DA CLINICA;A3
14157128;ESTILOS DA CLINICA (USP. IMPRESSO);A3
25957007;ESTIMA;B1
18063144;ESTIMA: BRAZILIAN JOURNAL OF ENTEROSTOMAL THERAPY;B1
13907263;ESTOA;A3
16809289;ESTOMATOLOGIA INTEGRADA;C
2346562X;ESTONIAN JOURNAL OF EDUCATION;B4
21828040;ESTREMA - REVISTA INTERDISCIPLINAR DE HUMANIDADES;B3
15592723;ESTUARIES AND COASTS;A2
02727714;ESTUARINE, COASTAL AND SHELF SCIENCE (PRINT);A2
16476158;ESTUDIO;A1
25009311;ESTUDIOS ARTISTICOS: REVISTA DE INVESTIGACION CREADORA;B1
07160925;ESTUDIOS ATACAMENOS (IMPRESA);B4
07185014;ESTUDIOS AVANZADOS (EN LINEA);A2
07180195;ESTUDIOS CONSTITUCIONALES;A1
23142022;ESTUDIOS CURATORIALES;B1
01850164;ESTUDIOS DE ASIA Y AFRICA;A3
01852574;ESTUDIOS DE CULTURA MAYA;A3
01201867;ESTUDIOS DE DERECHO;A4
16888006;ESTUDIOS DE DERECHO ADMINISTRATIVO;A2
11333197;ESTUDIOS DE ECONOMIA APLICADA;A4
16975731;ESTUDIOS DE ECONOMIA APLICADA (ONLINE);A4
1028835X;ESTUDIOS DE FILOSOFIA;B3
01213628;ESTUDIOS DE FILOSOFIA (MEDELLIN);A1
18519490;ESTUDIOS DE FILOSOFÍA PRÁCTICA E HISTORIA DE LAS IDEAS;B1
01852620;ESTUDIOS DE HISTORIA MODERNA Y CONTEMPORANEA DE MEXICO;A4
21716692;ESTUDIOS DE LINGUISTICA;A3
01852647;ESTUDIOS DE LINGUISTICA APLICADA;A3
26653273;ESTUDIOS DE LITERATURA COLOMBIANA;C
02109395;ESTUDIOS DE PSICOLOGIA (ED. IMPRESA);A2
22504397;ESTUDIOS DEL ISHIR;A3
01867210;ESTUDIOS DEMOGRAFICOS Y URBANOS DE EL COLEGIO DE MEXICO;A2
0425368X;ESTUDIOS ECONOMICOS;B2
01886916;ESTUDIOS ECONOMICOS (MEXICO);A3
19008325;ESTUDIOS EN SEGURIDAD Y DEFENSA;A4
01876961;ESTUDIOS FRONTERIZOS;A1
19888546;ESTUDIOS GEOGRAFICOS;B3
03670449;ESTUDIOS GEOLOGICOS;B2
01235923;ESTUDIOS GERENCIALES;A2
16885317;ESTUDIOS HISTORICOS (RIVERA);A3
07927061;ESTUDIOS INTERDISCIPLINARIOS DE AMERICA LATINA Y EL CARIBE;A3
07160240;ESTUDIOS INTERNACIONALES (SANTIAGO);A1
24485330;ESTUDIOS KIERKEGAARDIANOS REVISTA DE FILOSOFIA;B3
01373080;ESTUDIOS LATINOAMERICANOS;B2
15786676;ESTUDIOS NIETZSCHE;B3
02512483;ESTUDIOS PARAGUAYOS;B3
07180705;ESTUDIOS PEDAGOGICOS (ONLINE);A1
24628433;ESTUDIOS POLITICOS;A4
1989614X;ESTUDIOS ROMANICOS;B1
22504001;ESTUDIOS RURALES;A2
11341629;ESTUDIOS SOBRE EL MENSAJE PERIODISTICO;A2
14052210;ESTUDIOS SOBRE LAS CULTURAS CONTEMPORANEAS;A4
03274934;ESTUDIOS SOCIALES (SANTA FE);A1
24515965;ESTUDIOS SOCIALES CONTEMPORANEOS;A1
01240579;ESTUDIOS SOCIO-JURIDICOS;A1
01854186;ESTUDIOS SOCIOLOGICOS;A2
18534392;ESTUDIOS SOCIOTERRITORIALLES;A4
04235037;ESTUDIOS TURISTICOS;B3
03275841;ESTUDIOS Y PERSPECTIVAS EN TURISMO;A3
18511732;ESTUDIOS Y PERSPECTIVAS EN TURISMO (EN LINEA);A3
18521568;ESTUDIOS. REVISTA DEL CENTRO DE ESTUDIOS AVANZADOS (UNIVERSIDAD NACIONAL DE CORDOBA, ARGENTINA);A2
1983036X;ESTUDO & DEBATE (ONLINE);B2
1983781X;ESTUDOS (GOIANIA. ONLINE);B3
01030876;ESTUDOS (UCGO. IMPRESSO);B3
01024906;ESTUDOS ANGLO-AMERICANOS;B3
01034014;ESTUDOS AVANCADOS (USP);A1
16764951;ESTUDOS BIBLICOS;B2
2237941X;ESTUDOS CONTEMPORANEOS DA SUBJETIVIDADE;B1
18081355;ESTUDOS DA LINGUA(GEM) (IMPRESSO);A4
19820534;ESTUDOS DA LINGUA(GEM) (ONLINE);A4
25259261;ESTUDOS DE ADMINISTRACAO E SOCIEDADE;B2
16791371;ESTUDOS DE JORNALISMO E RELACOES PUBLICAS;B3
1989578X;ESTUDOS DE LINGUISTICA GALEGA;A4
23164018;ESTUDOS DE LITERATURA BRASILEIRA CONTEMPORANEA;A1
01003437;ESTUDOS DE PSICANALISE (IMPRESSO);B1
19820275;ESTUDOS DE PSICOLOGIA;A1
16784669;ESTUDOS DE PSICOLOGIA (NATAL. ONLINE);A1
0103166X;ESTUDOS DE PSICOLOGIA (PUCCAMP. IMPRESSO);A1
1413294X;ESTUDOS DE PSICOLOGIA (UFRN);A1
21761078;ESTUDOS DE RELIGIAO;A1
0103801X;ESTUDOS DE RELIGIAO (IMS);A1
19824718;ESTUDOS DE SOCIOLOGIA;B1
1415000X;ESTUDOS DE SOCIOLOGIA (RECIFE);B1
14140144;ESTUDOS DE SOCIOLOGIA (SAO PAULO);B1
23175427;ESTUDOS DE SOCIOLOGIA (UFPE);B1
19826729;ESTUDOS DO CEPE;B2
14134128;ESTUDOS DO CEPE (UNISC);B2
16464850;ESTUDOS DO ISCA;A2
16453530;ESTUDOS DO SECULO XX;B2
23162481;ESTUDOS E ANALISES DE CONJUNTURA DO OBSERVATORIO POLITICO DOS ESTADOS UNIDOS;B4
1414056X;ESTUDOS E PESQUISAS EM PSICOLOGIA;A4
18084281;ESTUDOS E PESQUISAS EM PSICOLOGIA (ONLINE);A2
16763041;ESTUDOS E PESQUISAS EM PSICOLOGIA (UERJ. IMPRESSO);A2
15163296;ESTUDOS E PESQUISAS. INFORMACAO DEMOGRAFICA E SOCIOECONOMICA;C
19805357;ESTUDOS ECONOMICOS;A1
01014161;ESTUDOS ECONOMICOS (SAO PAULO. IMPRESSO);A1
14145146;ESTUDOS ELEITORAIS;B2
01036831;ESTUDOS EM AVALIACAO EDUCACIONAL (IMPRESSO);A1
1984932X;ESTUDOS EM AVALIACAO EDUCACIONAL (ONLINE);A1
16464974;ESTUDOS EM COMUNICACAO;A4
01044249;ESTUDOS EM DESIGN (IMPRESSO);A1
1983196X;ESTUDOS EM DESIGN (ONLINE);A1
19846924;ESTUDOS EM JORNALISMO E MIDIA;A3
18066496;ESTUDOS EM JORNALISMO E MIDIA (UFSC);A3
18069584;ESTUDOS FEMINISTAS;A1
1678698X;ESTUDOS GEOGRAFICOS (UNESP);A3
19808208;ESTUDOS GEOLOGICOS (UFPE);B3
00800244;ESTUDOS GEOLOGICOS. SERIE B, ESTUDOS E PESQUISAS (UFPE);B3
21781494;ESTUDOS HISTORICOS;A1
01032186;ESTUDOS HISTORICOS (RIO DE JANEIRO);A1
21782962;ESTUDOS IAT (INSTITUTO ANISIO TEIXEIRA);B2
1980864X;ESTUDOS IBERO-AMERICANOS;A2
01014064;ESTUDOS IBERO-AMERICANOS (PUCRS. IMPRESSO);A2
23162171;ESTUDOS INTERDISCIPLINARES DO ENVELHECIMENTO - PORTO ALEGRE;A3
25947567;ESTUDOS INTERDISCIPLINARES EM EDUCACAO;C
22366407;ESTUDOS INTERDISCIPLINARES EM PSICOLOGIA;A3
15172473;ESTUDOS INTERDISCIPLINARES SOBRE O ENVELHECIMENTO;A3
2317773X;ESTUDOS INTERNACIONAIS;A4
08708584;ESTUDOS ITALIANOS EM PORTUGAL;B3
24477125;ESTUDOS JAPONESES;B2
14138298;ESTUDOS JAPONESES (USP);B2
23180501;ESTUDOS KANTIANOS;A2
01871811;ESTUDOS LATINOAMERICANOS;B3
24450472;ESTUDOS LATINO-AMERICANOS SOBRE RELACOES TRABALHISTAS E PROTECAO SOCIAL;C
19802951;ESTUDOS LEGISLATIVOS;C
16470346;ESTUDOS LINGUISTICOS (LISBOA);B2
14130939;ESTUDOS LINGUISTICOS (SAO PAULO. 1978);A2
01025465;ESTUDOS LINGUISTICOS E LITERARIOS (UFBA);B1
21793441;ESTUDOS NIETZSCHE;A4
19804016;ESTUDOS SEMIOTICOS (USP);A3
25267752;ESTUDOS SOCIEDADE E AGRICULTURA (ONLINE);A4
14130580;ESTUDOS SOCIEDADE E AGRICULTURA (UFRRJ);A4
18087310;ESTUDOS TECNOLOGICOS (ONLINE);C
01013130;ESTUDOS TEOLOGICOS;A3
04254082;ESTUDOS UNIVERSITARIOS;B2
08652139;ESZMELET:;B4
16606507;ETAS JOURNAL;C
17928036;ETASR - ENGINEERING, TECHNOLOGY & APPLIED SCIENCE RESEARCH;B1
26184281;ETCETERA;B3
19831838;E-TECH: TECNOLOGIAS PARA COMPETITIVIDADE INDUSTRIAL;B1
16772954;ETHIC@ (UFSC);A2
15594343;ETHICAL HUMAN PSYCHOLOGY AND PSYCHIATRY;B3
10508422;ETHICS & BEHAVIOR;A1
08926794;ETHICS & INTERNATIONAL AFFAIRS;A2
20849257;ETHICS IN PROGRESS;A3
23525525;ETHICS, MEDICINE AND PUBLIC HEALTH;B4
01419870;ETHNIC AND RACIAL STUDIES (PRINT);A1
1049510X;ETHNICITY & DISEASE;B1
13557858;ETHNICITY & HEALTH (PRINT);A4
22384782;ETHNOBIOLOGY AND CONSERVATION (ONLINE);A2
21598126;ETHNOBIOLOGY LETTERS;A4
15473465;ETHNOBOTANY RESEARCH AND APPLICATIONS;B1
14661381;ETHNOGRAPHY;A3
17457823;ETHNOGRAPHY AND EDUCATION (PRINT);B1
00141836;ETHNOMUSICOLOGY;A2
20094094;ETHNOMUSICOLOGY IRELAND;A3
26199572;ETHNOMUSICOLOGY JOURNAL (TURKEY);B1
24481998;ETHNOSCIENTIA;C
01791613;ETHOLOGY;A3
03949370;ETHOLOGY ECOLOGY & EVOLUTION (TESTO STAMPATO);A3
18090400;ETHOS & EPISTEME (UFAM);B4
18088422;ETHOS JUS;C
1695324X;ETIC@NET. REVISTA CIENTIFICA ELECTRONICA DE EDUCACION Y COMUNICACION EN LA SOCIEDAD DEL CONOCIMIENTO;A3
19887973;ETICA DE LOS CUIDADOS;B3
14143917;ETICA E FILOSOFIA POLITICA;A4
24482137;ETICA E FILOSOFIA POLITICA (ONLINE);A4
18077285;ETICA REVISTA;C
09215158;ETNOFOOR;A1
23920971;ETNOGRAFIA. PRAKTYKI, TEORIE, DOŚWIADCZENIA;A4
16692632;ETNOGRAFIAS CONTEMPORANEAS;A2
24518050;ETNOGRAFIAS CONTEMPORANEAS.;A2
21822891;ETNOGRAFICA;A1
08736561;ETNOGRAFICA (LISBOA);A1
17824192;ETOPIA;C
12256463;ETRI JOURNAL;A3
23750758;ETUDES;B1
24294667;ETUDES CANADIENNES (ONLINE);B2
1961859X;ETUDES CARIBEENNES;B1
18433979;ETUDES ET RECHERCHES EN PHILOLOGIE - SERIE LANGUES ROMANES;B1
00142123;ETUDES INTERNATIONALES (QUEBEC);B2
21567808;ETUDES RICOEURIENNES / RICOEUR STUDIES;A2
23364416;ETUDES ROMANES DE BRNO;B1
00142182;ETUDES RURALES;B2
00142247;ETUDES TSIGANES;B3
25261215;EUNISALESIANOS@UDE;C
18520707;E-UNIVERSITAS - U.N.R. - JOURNAL;C
22129685;EUPA OPEN PROTEOMICS;B1
15735060;EUPHYTICA (DORDRECHT. ONLINE);A2
00142336;EUPHYTICA (WAGENINGEN);A2
1350293X;EUR EARLY CHILD EDUC;A2
11286598;EUR J ONCOL;B4
19516355;EUR. PHYS. J. SPECIAL TOPICS;A3
18849466;EURASIA BORDER REVIEW;B3
13058215;EURASIA JOURNAL OF MATHEMATICS, SCIENCE AND TECHNOLOGY EDUCATION;A1
13094297;EURASIAN BUSINESS REVIEW (PRINT);A1
15623920;EURASIAN CHEMICO-TECHNOLOGICAL JOURNAL;B2
23066172;EURASIAN JOURNAL OF MATHEMATICAL AND COMPUTER APPLICATIONS (PRINT);B3
21474249;EURASIAN JOURNAL OF SOIL SCIENCE;B3
16876180;EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (ONLINE);A3
16876172;EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (PRINT);A3
16874714;EURASIP JOURNAL ON AUDIO, SPEECH AND MUSIC PROCESSING (PRINT);A4
16875281;EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING;A4
16871499;EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING;A4
07176236;EURE (SANTIAGO. EN LINEA);A1
02507161;EURE (SANTIAGO. IMPRESA);A1
22180559;EUREKA;B2
1415479X;EUREKA! (RIO DE JANEIRO);B2
21924406;EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION;A2
21939438;EURO JOURNAL ON DECISION PROCESSES;A4
21924376;EURO JOURNAL ON TRANSPORTATION AND LOGISTICS;A1
1025496X;EURO SURVEILLANCE;A1
14780917;EUROCHOICES (UCKFIELD);A4
19696213;EUROINTERVENTION (ONLINE);A1
1774024X;EUROINTERVENTION (TOULOUSE);A1
23849169;EUROJUS;B1
10995129;EUROPACE (LONDON, ENGLAND);A1
15322092;EUROPACE (ONLINE) (LONDON);A1
01762680;EUROPAISCHE ZEITSCHRIFT FUR POLITISCHE OKONOMIE / EUROPEAN JOURNAL OF POLITICAL ECONOMY;A1
22864822;EUROPEAN ACADEMIC RESEARCH;C
10226877;EUROPEAN ADDICTION RESEARCH;A1
17641489;EUROPEAN ANNALS OF ALLERGY AND CLINICAL IMMUNOLOGY;B3
18797296;EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY HEAD AND NECK DISEASES;B1
09374477;EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY;A2
19969805;EUROPEAN ARCHIVES OF PAEDIATRIC DENTISTRY (ONLINE);A4
18186300;EUROPEAN ARCHIVES OF PAEDIATRIC DENTISTRY (PRINT);A4
09401334;EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE;A2
14338491;EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE (INTERNET);A2
01757571;EUROPEAN BIOPHYSICS JOURNAL;A4
15667529;EUROPEAN BUSINESS ORGANIZATION LAW REVIEW;A1
0955534X;EUROPEAN BUSINESS REVIEW;A2
17583756;EUROPEAN CARDIOLOGY (IMPRESSO);B2
20635346;EUROPEAN CHEMICAL BULLETIN;C
10188827;EUROPEAN CHILD & ADOLESCENT PSYCHIATRY;A1
01443054;EUROPEAN COMPETITION LAW REVIEW;B2
19524005;EUROPEAN CYTOKINE NETWORK (ONLINE);B2
10724133;EUROPEAN EATING DISORDERS REVIEW;A1
00142921;EUROPEAN ECONOMIC REVIEW;A1
14749041;EUROPEAN EDUCATIONAL RESEARCH JOURNAL;A1
25480839;EUROPEAN ENDODONTIC JOURNAL;B3
22119175;EUROPEAN ENERGY JOURNAL;B4
13547798;EUROPEAN FINANCIAL MANAGEMENT;A2
14382377;EUROPEAN FOOD RESEARCH AND TECHNOLOGY;A2
1028267X;EUROPEAN GEOLOGIST;B1
18787649;EUROPEAN GERIATRIC MEDICINE;B1
0195668X;EUROPEAN HEART JOURNAL;A1
20472412;EUROPEAN HEART JOURNAL - CARDIOVASCULAR IMAGING (ONLINE);A1
20556837;EUROPEAN HEART JOURNAL - CARDIOVASCULAR PHARMACOTHERAPY;A1
20488726;EUROPEAN HEART JOURNAL ACUTE CARDIOVASCULAR CARE;A2
20472404;EUROPEAN HEART JOURNAL CARDIOVASCULAR IMAGING;A1
1520765X;EUROPEAN HEART JOURNAL SUPPLEMENTS;B1
20488734;EUROPEAN HEART JOURNAL: ACUTE CARDIOVASCULAR CARE (ONLINE);A2
20581742;EUROPEAN HEART JOURNAL: QUALITY OF CARE AND CLINICAL OUTCOMES;A1
23049693;EUROPEAN INTERNATIONAL JOURNAL OF SCIENCE AND TECHNOLOGY;C
26016303;EUROPEAN JOURNAL ENGINEERING AND FORMAL SCIENCES;C
20525656;EUROPEAN JOURNAL FOR PERSON CENTERED HEALTHCARE;A2
18794920;EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE;A2
20007426;EUROPEAN JOURNAL FOR RESEARCH ON THE EDUCATION AND LEARNING OF ADULTS;B1
20539738;EUROPEAN JOURNAL OF ACADEMIC RESEARCH;C
18033857;EUROPEAN JOURNAL OF ADAPTED PHYSICAL ACTIVITY;B1
16139372;EUROPEAN JOURNAL OF AGEING (PRINT);A2
11610301;EUROPEAN JOURNAL OF AGRONOMY;A1
02650215;EUROPEAN JOURNAL OF ANAESTHESIOLOGY (PRINT);A1
09521941;EUROPEAN JOURNAL OF ANAESTHESIOLOGY. SUPPLEMENT;B3
11364890;EUROPEAN JOURNAL OF ANATOMY;B3
21835594;EUROPEAN JOURNAL OF APPLIED BUSINESS AND MANAGEMENT;B4
09567925;EUROPEAN JOURNAL OF APPLIED MATHEMATICS (PRINT);A3
14396327;EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY (INTERNET);A2
14396319;EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY (PRINT);A2
15021149;EUROPEAN JOURNAL OF BEHAVIOR ANALYSIS;B2
24498955;EUROPEAN JOURNAL OF BIOLOGICAL RESEARCH;B2
23498870;EUROPEAN JOURNAL OF BIOMEDICAL AND PHARMACEUTICAL SCIENCES;C
25870831;EUROPEAN JOURNAL OF BREAST HEALTH;C
25071076;EUROPEAN JOURNAL OF BUSINESS AND MANAGEMENT RESEARCH;C
2235767X;EUROPEAN JOURNAL OF BUSINESS AND SOCIAL SCIENCES;C
09598049;EUROPEAN JOURNAL OF CANCER;A1
13652354;EUROPEAN JOURNAL OF CANCER CARE;A3
09615423;EUROPEAN JOURNAL OF CANCER CARE (ENGLISH ED. PRINT);A3
09598278;EUROPEAN JOURNAL OF CANCER PREVENTION;A2
10107940;EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY;A1
14745151;EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING;A1
22842594;EUROPEAN JOURNAL OF CASE REPORTS IN INTERNAL MEDICINE;C
01719335;EUROPEAN JOURNAL OF CELL BIOLOGY (PRINT);A1
21532249;EUROPEAN JOURNAL OF CHEMISTRY;C
2340924X;EUROPEAN JOURNAL OF CHILD DEVELOPMENT, EDUCATION AND PSYCHOPATHOLOGY;B3
25441361;EUROPEAN JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE;B2
13652362;EUROPEAN JOURNAL OF CLINICAL INVESTIGATION;A2
00142972;EUROPEAN JOURNAL OF CLINICAL INVESTIGATION (PRINT);A2
09349723;EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES (PRINT);A3
09543007;EUROPEAN JOURNAL OF CLINICAL NUTRITION;A1
00316970;EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY;A3
14321041;EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY (INTERNET);A3
10959971;EUROPEAN JOURNAL OF COMBINATORICS (ONLINE);A3
01956698;EUROPEAN JOURNAL OF COMBINATORICS (PRINT);A3
02673231;EUROPEAN JOURNAL OF COMMUNICATION (LONDON);A1
23056746;EUROPEAN JOURNAL OF CONTEMPORARY EDUCATION;A1
13625187;EUROPEAN JOURNAL OF CONTRACEPTION & REPRODUCTIVE HEALTH CARE;A4
09473580;EUROPEAN JOURNAL OF CONTROL;A2
14773708;EUROPEAN JOURNAL OF CRIMINOLOGY (PRINT);A1
23254815;EUROPEAN JOURNAL OF CULTURAL AND POLITICAL SOCIOLOGY;A4
26635771;EUROPEAN JOURNAL OF CULTURAL MANAGEMENT AND POLICY;B3
13965883;EUROPEAN JOURNAL OF DENTAL EDUCATION;A3
13057464;EUROPEAN JOURNAL OF DENTISTRY (ONLINE);A4
13057456;EUROPEAN JOURNAL OF DENTISTRY (PRINT);A4
09578811;EUROPEAN JOURNAL OF DEVELOPMENT RESEARCH;A2
03787966;EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS;A4
13398474;EUROPEAN JOURNAL OF ECOLOGY (ONLINE);B3
20527764;EUROPEAN JOURNAL OF ECONOMICS AND ECONOMIC POLICIES: INTERVENTION.;A2
14502275;EUROPEAN JOURNAL OF ECONOMICS, FINANCE AND ADMINISTRATIVE SCIENCES;C
01418211;EUROPEAN JOURNAL OF EDUCATION;A2
18888992;EUROPEAN JOURNAL OF EDUCATION AND PSYCHOLOGY;A2
25011111;EUROPEAN JOURNAL OF EDUCATION STUDIES;B1
26422344;EUROPEAN JOURNAL OF EDUCATIONAL MANAGEMENT;B4
09699546;EUROPEAN JOURNAL OF EMERGENCY MEDICINE;A2
08044643;EUROPEAN JOURNAL OF ENDOCRINOLOGY;A1
2736576X;EUROPEAN JOURNAL OF ENGINEERING AND TECHNOLOGY RESEARCH;C
03043797;EUROPEAN JOURNAL OF ENGINEERING EDUCATION (PRINT);A4
25068016;EUROPEAN JOURNAL OF ENGINEERING RESEARCH AND SCIENCE;C
18028829;EUROPEAN JOURNAL OF ENTOMOLOGY;A4
12105759;EUROPEAN JOURNAL OF ENTOMOLOGY (CESKE BUDEJOVICE, PRINT);A4
19648189;EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING;A3
03932990;EUROPEAN JOURNAL OF EPIDEMIOLOGY;A1
22489215;EUROPEAN JOURNAL OF EXPERIMENTAL BIOLOGY;C
16124669;EUROPEAN JOURNAL OF FOREST RESEARCH (PRINT);A1
0954691X;EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY;B1
14735687;EUROPEAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY;B1
22789626;EUROPEAN JOURNAL OF GENERAL DENTISTRY;B2
23204753;EUROPEAN JOURNAL OF GENERAL DENTISTRY (ONLINE);B2
17921341;EUROPEAN JOURNAL OF GEOGRAPHY;A2
17533562;EUROPEAN JOURNAL OF GLASS SCIENCE AND TECHOLOGY. PART B. PHYSICS AND CHEMISTRY OF GLASSES;B1
03922936;EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY;B2
09024441;EUROPEAN JOURNAL OF HAEMATOLOGY;B1
13889842;EUROPEAN JOURNAL OF HEART FAILURE;A1
1121760X;EUROPEAN JOURNAL OF HISTOCHEMISTRY;A3
16114426;EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE (2003. PRINT);A4
20479956;EUROPEAN JOURNAL OF HOSPITAL PHARMACY: SCIENCE AND PRACTICE;A4
10184813;EUROPEAN JOURNAL OF HUMAN GENETICS;A2
23864095;EUROPEAN JOURNAL OF HUMAN MOVEMENT;B2
2307700X;EUROPEAN JOURNAL OF HUMOUR RESEARCH;C
00142980;EUROPEAN JOURNAL OF IMMUNOLOGY;A2
15214141;EUROPEAN JOURNAL OF IMMUNOLOGY (INTERNET);A2
17515254;EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING;A3
09596801;EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS;A1
1721727X;EUROPEAN JOURNAL OF INFLAMMATION;B3
14601060;EUROPEAN JOURNAL OF INNOVATION MANAGEMENT;A2
10990682;EUROPEAN JOURNAL OF INORGANIC CHEMISTRY;A3
14341948;EUROPEAN JOURNAL OF INORGANIC CHEMISTRY (PRINT);A3
18763820;EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE;A4
09536205;EUROPEAN JOURNAL OF INTERNAL MEDICINE (LEICESTER);A2
20575645;EUROPEAN JOURNAL OF INTERNATIONAL SECURITY;B1
09291261;EUROPEAN JOURNAL OF LAW AND ECONOMICS;A2
18758274;EUROPEAN JOURNAL OF LAW REFORM (ONLINE);A3
19732937;EUROPEAN JOURNAL OF LEGAL STUDIES;A2
14389312;EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY (INTERNET);A2
14387697;EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY (PRINT);A2
25597914;EUROPEAN JOURNAL OF LITERATURE, LANGUAGE AND LINGUISTICS STUDIES;B2
15554015;EUROPEAN JOURNAL OF MANAGEMENT;B3
25019988;EUROPEAN JOURNAL OF MANAGEMENT AND MARKETING STUDIES;B1
03090566;EUROPEAN JOURNAL OF MARKETING;A1
14690667;EUROPEAN JOURNAL OF MASS SPECTROMETRY;B2
2199675X;EUROPEAN JOURNAL OF MATHEMATICS (PRINT);A4
09977538;EUROPEAN JOURNAL OF MECHANICS. A, SOLIDS;A2
09977546;EUROPEAN JOURNAL OF MECHANICS. B, FLUIDS;A2
25938339;EUROPEAN JOURNAL OF MEDICAL AND HEALTH SCIENCES;B2
17697212;EUROPEAN JOURNAL OF MEDICAL GENETICS;B1
09492321;EUROPEAN JOURNAL OF MEDICAL RESEARCH;A4
02235234;EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY;A1
